as_of,n,ic,decile_spread,source,horizon,n_unscoreable
2025-07-11,499,0.15214042542917158,0.010639880565541264,walkforward,5,0
2025-07-18,499,-0.12133761498901416,-0.022782859072821116,walkforward,5,0
2025-07-25,499,0.11544906959579569,0.03489637998602267,walkforward,5,0
2025-08-01,499,-0.01684506362121834,0.0027417437040815405,walkforward,5,0
2025-08-08,499,0.03509042180747036,0.0036072287246108788,walkforward,5,0
2025-08-15,499,-0.08312702513460656,-0.006020312155888363,walkforward,5,0
2025-08-22,499,0.03161523046092184,-0.0028011679743219706,walkforward,5,0
2025-08-29,499,0.024412343347232867,-0.007222090609344469,walkforward,5,0
2025-09-05,499,0.2865060793033315,0.027539154744631058,walkforward,5,0
2025-09-12,499,0.008948499408455466,-0.002672521844167869,walkforward,5,0
2025-09-19,499,0.04494608494096626,0.008206370738967928,walkforward,5,0
2025-09-26,499,-0.08405089697467222,-0.0154915387570292,walkforward,5,0
2025-10-03,499,0.04243668161471574,0.009513786604800234,walkforward,5,0
2025-10-10,499,0.20307361711374555,0.017388154144967433,walkforward,5,0
2025-10-17,499,0.17582596518337879,0.017735304353194457,walkforward,5,0
2025-10-24,499,0.033754738392447546,0.021282459571602907,walkforward,5,0
2025-10-31,499,0.057556269164835694,0.0001200213759181409,walkforward,5,0
2025-11-07,499,-0.09014887606538377,-0.0036319925191084087,walkforward,5,0
2025-11-14,499,-0.2229439226860433,-0.03598219887470935,walkforward,5,0
2025-11-21,499,0.2627426965435135,0.03375418400814205,walkforward,5,0
2025-11-28,499,0.04423478281864934,-0.0019241727793782295,walkforward,5,0
2025-12-05,499,0.07132858488060458,0.006556302595449873,walkforward,5,0
2025-12-12,499,-0.06255566554796338,-0.0016892405639024896,walkforward,5,0
2025-12-19,499,0.05791438298283313,-0.0041401377793168,walkforward,5,0
2025-12-26,499,-0.06216094840282975,-0.003542508929024802,walkforward,5,0
2026-01-02,499,0.011633194099041455,0.006210618248978835,walkforward,5,0
2026-01-09,499,-0.05061989038317599,-0.018895087949825744,walkforward,5,0
2026-01-16,499,0.010169592441982579,0.002635608410358773,walkforward,5,0
2026-01-23,499,-0.15590844339280968,-0.025305276779575944,walkforward,5,0
2026-01-30,499,-0.10471516527029963,-0.02561784886764068,walkforward,5,0
2026-02-06,499,-0.03049540043943308,-0.00800500450764925,walkforward,5,0
2026-02-13,500,0.015481981927927711,0.001390172097801198,walkforward,5,0
2026-02-20,500,-0.09544800008275235,-0.0022848389913337295,walkforward,5,0
