ticker,prob_outperform,rank_pct
EBAY,0.5298187371570363,0.758
CNP,0.5296319679658222,0.756
SWK,0.5291626998761949,0.754
APA,0.5291354986044072,0.752
MO,0.5284978846260278,0.75
DTE,0.5279609566106728,0.748
TDY,0.5279557981200854,0.746
KEYS,0.5279324422352599,0.744
TPL,0.527624965473034,0.742
PNW,0.5274108872868959,0.74
ODFL,0.5273939630861921,0.738
PSA,0.526939097021297,0.736
LNT,0.526599748077719,0.734
CTVA,0.5262346665726645,0.732
EIX,0.5250514484770957,0.73
FTV,0.5248879568897568,0.728
HWM,0.5245221158138383,0.726
TGT,0.5245004368669994,0.724
PKG,0.5244366857528983,0.722
RVTY,0.5242738554604337,0.72
FSLR,0.523882690451749,0.718
ROST,0.5236257441496747,0.716
BMY,0.5231838887288653,0.714
REG,0.5231466515273435,0.712
HSIC,0.5229394174254351,0.71
AMAT,0.5217657482637414,0.708
VTRS,0.5214828746835323,0.706
GS,0.5213281253190677,0.704
TJX,0.520854054654829,0.702
APP,0.520671195199749,0.7
LH,0.5204015298822703,0.698
TSLA,0.5202512724088051,0.696
WBD,0.5200824317028698,0.694
LHX,0.5200257715395948,0.692
DOC,0.5199558572566123,0.69
EXPE,0.5197693114709009,0.688
PSKY,0.5194823164020622,0.686
EW,0.5194777370345297,0.684
AIZ,0.5192050313402757,0.682
PSX,0.5191926475986954,0.68
FANG,0.5190920183200894,0.678
BKR,0.5189681638000982,0.676
VLO,0.5185632146432835,0.674
NVDA,0.517951037302031,0.672
ADM,0.5178522223940769,0.67
IVZ,0.5175009233233263,0.668
KLAC,0.5168360586232513,0.666
NXPI,0.5167749987150417,0.664
TMO,0.5167330965527598,0.662
MS,0.5158186793415082,0.66
WMB,0.5157040883120249,0.658
DUK,0.5155420023010113,0.656
ESS,0.5151677874213799,0.654
TTWO,0.5151620320313752,0.652
TFC,0.5149925007892269,0.65
CMS,0.5149687169580901,0.648
SBUX,0.5148074497648217,0.646
EQR,0.5147025420965897,0.644
XOM,0.5138322648405321,0.642
AMGN,0.5129735808211464,0.64
JNJ,0.5120668587438542,0.638
AEE,0.5120032539255845,0.636
ED,0.5118597361636728,0.634
INCY,0.5116885702075468,0.632
NSC,0.5116796665500103,0.63
CF,0.5112705250845514,0.628
L,0.5109283505970922,0.626
STT,0.5109242816718806,0.624
HAS,0.510764052275074,0.622
PLD,0.5105581093972009,0.62
TXN,0.5105145448013719,0.618
ES,0.510233584678105,0.616
BALL,0.5101749428801707,0.614
SRE,0.5099899239912946,0.612
SLB,0.5097938202576264,0.61
GRMN,0.5097814502734054,0.608
BNY,0.5093707907296998,0.606
UNP,0.5093331067497917,0.604
OKE,0.5089245772443002,0.602
ON,0.5088507760264854,0.6
OXY,0.5086652325268436,0.598
YUM,0.5086573834974508,0.596
ZBRA,0.5084631082748119,0.594
ATO,0.5080044371501677,0.592
TSCO,0.5076704967329244,0.59
AFL,0.5070753176653023,0.588
TROW,0.507002007774569,0.586
UNH,0.5064004128020404,0.584
REGN,0.5062228848465238,0.582
NTRS,0.5058851910743308,0.58
WRB,0.5052711351311915,0.578
JPM,0.5049451040563271,0.576
HII,0.5047959085746948,0.574
PCG,0.5046946427625777,0.572
A,0.5043129811077397,0.57
BAC,0.5042567579255169,0.568
KVUE,0.5042301952896534,0.566
V,0.5041976032421853,0.564
PFG,0.5039068481082584,0.562
